Scientist,University,Degree,isPostGrad
6445cf95-b8a0-41e8-ac74-db5188961857,NYU Tandon School of Engineering,doctor of philosophy (ph.d.) electrical and computer engineering,TRUE
cb99fae8-bc9a-4b9d-b10f-ff587624aa7d,IIIT-Delhi,master of technology (m.tech.) computer engineering,TRUE
cb99fae8-bc9a-4b9d-b10f-ff587624aa7d,KTHM college,master of science (m.sc.) computer science,TRUE
8d251d0c-4918-4fce-a063-b69a7b5a3cf5,University of Pittsburgh School of Computing and Information,doctor of philosophy (phd) information science,TRUE
8d251d0c-4918-4fce-a063-b69a7b5a3cf5,University of Tehran,master's degree,TRUE
92e359e5-851c-49e3-a264-5579f8066aa8,University of Southampton,"master’s degree oceanography, chemical and physical",TRUE
0e94b31d-f539-4dd2-9340-d1c8cece4335,ESADE Business School,master of business administration (mba) mba,TRUE
0e94b31d-f539-4dd2-9340-d1c8cece4335,Tokyo Institute of Technology,master's degree biomolecular engineering,TRUE
05b34919-442a-4acd-b6af-41c4839e46f8,New York University,master of science (m.s.) data science,TRUE
f31f2ee7-7dfd-4965-8c51-4ff4492982f7,The Hebrew University of Jerusalem,master's degree statistics,TRUE
9f4da88b-70f5-42c4-96d3-708d36252190,Tel Aviv University,m.sc. industrial engineering summa cum laude,TRUE
eba026d5-cebb-4b29-ab11-9fc30e1e9ad2,Dartmouth College,master of engineering management,TRUE
f0f97bf0-3771-42e4-995e-63f4493d8464,UNSW,doctor of philosophy (ph.d.) computer science and engineering,TRUE
0f767965-1d10-49d8-9f78-1e40414014f5,University of Tennessee-Knoxville,"master’s degree political science - research methodology/statistics, american government 4.00",TRUE
579795fd-c165-4c5e-bb98-457d0a826a18,Georgia Institute of Technology,master of science - ms analytics,TRUE
702e6cc9-b053-4d8c-b30c-101cd9c3a44b,"University of California, Berkeley",master's degree statistics,TRUE
73483217-da5e-4252-a94e-7a08b5c79067,James Cook University,master's degree data science,TRUE
216b340d-86ae-4593-9065-82b1b9d2eddf,National Cheng Kung University,master's degree oral biology and oral and maxillofacial pathology,TRUE
f3b444a5-74b2-4ab5-9399-7d542f0a4a4a,University of Michigan,"m.s applied statistics, applied economics 4.0",TRUE
fedaea94-2bad-4ed7-b644-06d1c29a7896,La Trobe University,master of business analytics,TRUE
700a29f3-4a32-465e-9d97-46d75c8cb917,Simon Fraser University,"master's degree computing science, big data program 3.93/4.0 gpa",TRUE
6984b7d8-3b3c-45e8-bfb6-0cb817663443,University of South Australia,masters data science,TRUE
6984b7d8-3b3c-45e8-bfb6-0cb817663443,University of South Australia,masters business information management,TRUE
6984b7d8-3b3c-45e8-bfb6-0cb817663443,University of South Australia,masters library and information science,TRUE
b571b9e9-cdd6-4ce5-b837-bae5476de326,New Mexico State University,master’s degree econometrics 4.0,TRUE
b444ee2d-1d94-4262-b5d8-5be9363e71de,University of South Australia,masters data science,TRUE
b444ee2d-1d94-4262-b5d8-5be9363e71de,University of South Australia,masters business information management,TRUE
b444ee2d-1d94-4262-b5d8-5be9363e71de,University of South Australia,masters library and information science,TRUE
5b2debbb-aa7e-4588-9742-41fa07cd35ea,University of Michigan,"m.s applied statistics, applied economics 4.0",TRUE
24e0be89-5e23-48d0-aac0-81c355f84f00,Bharati Vidyapeeth,master of computer applications - mca computer science a,TRUE
a42b3569-c1e8-49f4-af7b-ece0c8d3ed1e,University of Michigan,"m.s applied statistics, applied economics 4.0",TRUE
f5949e15-2851-4589-b949-27d3032fcea4,University of Birmingham,doctor of philosophy (ph.d.) medical image processing and analysis,TRUE
f5949e15-2851-4589-b949-27d3032fcea4,University of Birmingham,master of science (m.sc.) physical sciences of imaging in biomedical sciences 1st class,TRUE
f5949e15-2851-4589-b949-27d3032fcea4,University of Birmingham,master in science (m.sci.) chemistry 1st class,TRUE
0d7cbbbb-81f7-443a-9370-19857ddb5005,Harvard University,master of arts statistics 3.95,TRUE
f10cb95d-dc09-4757-9b36-a06c12535008,University of Southern California - Marshall School of Business,master of business administration - mba (stem designation) 3.85,TRUE
f10cb95d-dc09-4757-9b36-a06c12535008,Lancaster University,master’s degree data science 4.00,TRUE
b3c29a7e-f3a0-4574-91ca-1a14052c513a,University of Illinois at Urbana-Champaign,master's degree computer science - data science 3.91/4,TRUE
b3c29a7e-f3a0-4574-91ca-1a14052c513a,"Narsee Monjee Institute of Management Studies, Bangalore",master of business administration (mba) data analytics,TRUE
5c7dc46e-dd5b-4163-a506-3ce147159473,University of New Haven,master of science (m.s.) - gpa: 3.92 data science,TRUE
578732f8-db11-44fe-8e66-1045de8eaf42,University of Birmingham,doctor of philosophy (ph.d.) medical image processing and analysis,TRUE
578732f8-db11-44fe-8e66-1045de8eaf42,University of Birmingham,master of science (m.sc.) physical sciences of imaging in biomedical sciences 1st class,TRUE
578732f8-db11-44fe-8e66-1045de8eaf42,University of Birmingham,master in science (m.sci.) chemistry 1st class,TRUE
0fc09282-fb87-44d5-8d9f-772aa9a593d0,Harvard University,master of arts statistics 3.95,TRUE
7bdcd793-ad19-4ad7-ae87-1624eaab0665,University of Sussex,doctor of philosophy (ph.d.) astronomy,TRUE
7bdcd793-ad19-4ad7-ae87-1624eaab0665,UCL,msci astrophysics,TRUE
a864827f-8e7e-45bf-9f50-7b8465c865d8,École Normale Supérieure Paris-Saclay,"master's degree computer vision, applied mathematics",TRUE
a864827f-8e7e-45bf-9f50-7b8465c865d8,Université Paris-Saclay,master's degree statistics and machine learning,TRUE
39f5bf11-7637-4c85-9741-85c852a579db,University of Southern California - Marshall School of Business,master of business administration - mba (stem designation) 3.85,TRUE
